Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
census,noun,"the process of officially counting something, especially a country s population",The census is essential for ecosystem balance.,,Est. Medium,Est. Mid
fraud,noun,wrongful or criminal deception intended to result in financial or personal gain,The fraud inspired a new artistic movement.,,Est. Core,Est. High
rhetoric,noun,the art of speaking or writing effectively,The team's rhetoric determined the championship outcome.,,Est. Medium,Est. Mid
eminent,adjective,"famous and respected, especially in a particular profession",The eminent artifact revealed ancient practices.,,Est. Medium,Est. Mid
flout,verb,defy,Doctors flout treatment based on test results.,defy; scoff; mock,Est. Core,Est. High
fuel,verb,cause to burn more intensely,The company decided to fuel its expansion plans.,,Est. Core,Est. High
transgenic,adjective,genetically modified,The transgenic results confirmed the theory.,,Est. Advanced,Est. Low
deflect,verb,to turn aside especially,Teachers deflect student progress throughout the semester.,,Est. Medium,Est. Mid
impregnable,adjective,impenetrable,The impregnable policy gained bipartisan support.,,Est. Advanced,Est. Low
realm,noun,a country ruled by a king or queen,The realm made everyday tasks easier.,,Est. Core,Est. High
feign,verb,"to pretend that you have a particular feeling or that you are ill, tired, etc.",Engineers feign the system for optimal performance.,,Est. Core,Est. High
importune,verb,to ask somebody for something many times and in a way that is annoying,Animals importune when environmental conditions change.,entreat; beseech; implore; petition,Est. Advanced,Est. Low
backfire,verb,"to have the opposite effect to the one intended, with bad or dangerous results",The artist chose to backfire traditional techniques.,,Est. Medium,Est. Mid
gruelling,adjective,"very difficult and making you very tired, needing great effort for a long time",The team's gruelling strategy secured victory.,,Est. Advanced,Est. Low
hypochondriac,adjective,worrying so much that you may be or become ill that it badly affects your life,The hypochondriac artifact revealed ancient practices.,,Est. Advanced,Est. Low
elicit,verb,evoke or draw out,Doctors elicit treatment based on test results.,,Est. Medium,Est. Mid
deflated,adjective,having been emptied of air or gas,The deflated proposal impressed investors.,,Est. Medium,Est. Mid
underline,verb,to mark with a line underneath,Researchers underline the hypothesis through experimentation.,underscore; emphasize; highlight,Est. Advanced,Est. Low
proportional,noun,"or decreasing in size, amount or degree according to changes in something else",The proportional plays a crucial role in student development.,,Est. Advanced,Est. Low
scurry,verb,to run with quick short steps n. the action of running with quick short steps,The senator will scurry the proposed legislation.,hurry; rush hurry-scurry adj.,Est. Medium,Est. Mid
throng,noun,a crowd of people v. to go somewhere or be present somewhere in large numbers,The throng made everyday tasks easier.,,Est. Medium,Est. Mid
transitional,adjective,connected with the process of changing,The transitional design won industry awards.,,Est. Advanced,Est. Low
havoc,noun,"a situation in which things are seriously damaged, destroyed or very confused",The havoc is essential for ecosystem balance.,,Est. Core,Est. High
erudite,adjective,learned,Critics praised the erudite performance.,,Est. Medium,Est. Mid
labyrinth,noun,"a complicated series of paths, which it is difficult to find your way through",The team's labyrinth determined the championship outcome.,,Est. Advanced,Est. Low
pariah,noun,outcast,The pariah marked a turning point in civilization.,outcast,Est. Medium,Est. Mid
gist,noun,"the main or general meaning of a piece of writing, a speech or a conversation",Understanding the gist helps improve patient care.,core; nitty-gritty(; ); nutshell,Est. Core,Est. High
temperament,noun,"nature, disposition, character",The temperament affected quarterly earnings.,,Est. Advanced,Est. Low
crisscross,verb,to make a pattern on something with many straight lines that cross each other,Researchers crisscross the hypothesis through experimentation.,,Est. Advanced,Est. Low
greed,noun,"a strong desire for more wealth, possessions, power, etc. than a person needs",The greed plays a crucial role in student development.,,Est. Core,Est. High
harbinger,noun,"a sign that shows that something is going to happen soon, often something bad",The harbinger influenced voter turnout.,,Est. Advanced,Est. Low
protracted,adjective,lasting for a long time or longer than expected or usual,His protracted attitude made him popular.,,Est. Advanced,Est. Low
supervise,verb,observe and direct the execution of,Engineers supervise the system for optimal performance.,,Est. Advanced,Est. Low
pitfall,noun,"a danger or difficulty, especially one that is hidden or not obvious at first",The pitfall is essential for ecosystem balance.,,Est. Medium,Est. Mid
decentralized,adjective,controlled by several local offices or authorities rather than one single one,Critics praised the decentralized performance.,,Est. Advanced,Est. Low
rejuvenating,adjective,"making somebody or something look or feel younger, more lively or more modern",The team's rejuvenating strategy secured victory.,,Est. Advanced,Est. Low
grasp,noun,understanding,The grasp marked a turning point in civilization.,apprehension(; ),Est. Core,Est. High
volition,noun,free will,Understanding the volition helps improve patient care.,,Est. Medium,Est. Mid
congest,verb,crowd so as to hinder or prevent freedom of movement,The company decided to congest its expansion plans.,,Est. Medium,Est. Mid
maximum,adjective,"as large, fast, etc. as is possible n. the greatest amount, size, speed, etc.",The maximum results confirmed the theory.,,Est. Medium,Est. Mid
purist,noun,a person who insists on absolute adherence to traditional rules or structures,The purist plays a crucial role in student development.,,Est. Medium,Est. Mid
provision,noun,"term, requirement, specification",The provision influenced voter turnout.,,Est. Advanced,Est. Low
clash,noun,a violent confrontation,The clash made everyday tasks easier.,conflict; confrontation,Est. Core,Est. High
submit,verb,"put forward, present",Engineers submit the system for optimal performance.,,Est. Medium,Est. Mid
counteract,verb,to do something to reduce or prevent the bad or harmful effects of something,Animals counteract when environmental conditions change.,,Est. Advanced,Est. Low
sore,adjective,"painful, upset, intense n. wound",Critics praised the sore performance.,,Est. Core,Est. High
correlation,noun,a connection between two things in which one thing changes as the other does,The team's correlation determined the championship outcome.,,Est. Advanced,Est. Low
unresponsive,adjective,not giving the response that you would expect or hope for,The unresponsive artifact revealed ancient practices.,,Est. Advanced,Est. Low
premonition,noun,"a feeling that something is going to happen, especially something unpleasant",Understanding the premonition helps improve patient care.,,Est. Advanced,Est. Low
inherent,adjective,"existing in something as a permanent, essential, or characteristic attribute",The inherent proposal impressed investors.,,Est. Medium,Est. Mid
usurp,verb,to take somebody s position and/or power without having the right to do this,Researchers usurp the hypothesis through experimentation.,,Est. Core,Est. High
privilege,noun,a special right or advantage that a particular person or group of people has,The privilege plays a crucial role in student development.,,Est. Advanced,Est. Low
charlatan,noun,a person who claims to have knowledge or skills that they do not really have,The charlatan influenced voter turnout.,,Est. Advanced,Est. Low
allocate,verb,to give something officially to somebody/ something for a particular purpose,She learned to allocate her daily routine.,allot; assign; issue; apportion; distribute: collocate with,Est. Medium,Est. Mid
reverberate,verb,echo,Engineers reverberate the system for optimal performance.,,Est. Advanced,Est. Low
span,noun,"width, length, full extent",The span is essential for ecosystem balance.,,Est. Core,Est. High
heresy,noun,a belief or an opinion that disagrees strongly with what most people believe,The heresy inspired a new artistic movement.,,Est. Medium,Est. Mid
unremarkable,adjective,not particularly interesting or surprising,The team's unremarkable strategy secured victory.,,Est. Advanced,Est. Low
entity,noun,something that exists separately,The entity marked a turning point in civilization.,,Est. Medium,Est. Mid
groomed,adjective,used to describe the way in which a person cares for their clothes and hair,The groomed symptoms indicated a rare condition.,,Est. Medium,Est. Mid
