Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
reverie,noun,daydream,Each reverie required separate documentation and approval.,,Medium,Mid
self-serving,adjective,serving one's own interests often in disregard of the truth or the interests of others,The self-serving results confirmed initial predictions.,,Advanced,Low
unflinching,adjective,"remaining strong and determined, even in a difficult or dangerous situation",Market conditions remained unflinching throughout the year.,,Advanced,Low
enhance,verb,"to increase or further improve the good quality, value or status of somebody/something",Athletes enhance their training during off-season.,boost; augment; escalate; reinforce,Medium,Mid
exuberant,adjective,"full of energy, excitement and happiness",Students found the exuberant explanation helpful.,,Advanced,Low
implausible,adjective,not seeming reasonable or probable,The implausible design won several awards.,,Advanced,Low
concerted,adjective,jointly arranged or carried out,Their concerted strategy proved effective.,,Advanced,Low
rash,adjective,"reckless, hasty, imprudent, ill-considered n. an area of red spots on a person s skin",The rash evidence supported the theory.,,Core,High
commission,verb,"to officially ask somebody to write, make or create something or to do a task for you",Officials commission the proposal after public hearings.,,Advanced,Low
subversive,adjective,revolutionary,Her subversive approach solved the complex problem.,,Advanced,Low
ambiguity,noun,the state of having more than one possible meaning,Analysis revealed a significant ambiguity in the data.,,Advanced,Low
hinge,noun,"a piece of metal, plastic, etc. on which a door moves freely v. depend, be contingent",The hinge affected production schedules throughout the quarter.,,Core,High
procrastinate,verb,"to delay doing something that you should do, usually because you do not want to do it",Museums procrastinate artifacts from private collectors.,,Advanced,Low
antiquity,noun,"the state of being very old or ancient, especially the times of the Greeks and Romans",Evidence clearly supported the antiquity.,,Advanced,Low
genteel,adjective,"elegant or graceful in manner, appearance, or shape",The team showed genteel improvement over time.,,Medium,Mid
na,noun,"a lack of experience of life, knowledge or good judgement",Each na required separate documentation and approval.,,Core,High
compassion,noun,sympathetic consciousness of others' distress together with a desire to alleviate it,Researchers studied the compassion under laboratory conditions.,,Advanced,Low
exploit,verb,to make productive use of,Administrators exploit the new policy immediately.,,Medium,Mid
guild,noun,an organization of people who do the same job or who have the same interests or aims,Competition revealed each participant's guild.,,Core,High
noxious,adjective,physically harmful or destructive to living beings,Students found the noxious explanation helpful.,,Medium,Mid
durability,noun,the quality of being able to last for a long time without breaking or getting weaker,Budget constraints limited the durability.,,Advanced,Low
predominant,adjective,most obvious or easy to notice,Their predominant strategy proved effective.,,Advanced,Low
vex,verb,"make feel annoyed, frustrated, or worried, especially with trivial matters",Students vex their study habits before finals.,,Core,High
hinder,verb,hamper,Officials hinder the proposal after public hearings.,,Medium,Mid
melancholy,adjective,a feeling of being very sad that lasts for a long time and often cannot be explained,Her melancholy approach solved the complex problem.,,Advanced,Low
buffer,verb,"soften, lessen, mitigate, shield, cushion n. cushion, bulwark, shield, screen, guard",Financial advisors buffer conservative investment strategies.,,Medium,Mid
genocide,noun,"the deliberate and systematic destruction of a racial, political, or cultural group",The research genocide took three years to complete.,,Medium,Mid
obfuscate,verb,"to make something less clear and more difficult to understand, usually deliberately",Historians obfuscate the accuracy of ancient texts.,confuse: fuscdark; fume()fuse(; ),Advanced,Low
decline,noun,"a continuous decrease v. to become smaller, fewer, weaker, etc.",The decline proved more complex than initially anticipated.,,Medium,Mid
femininity,noun,the fact of being a woman,Each femininity required separate documentation and approval.,,Advanced,Low
spew,verb,"to flow out quickly, or to make something flow out quickly, in large amounts",Scientists spew their hypothesis through experimentation.,spit(),Core,High
corroborate,verb,confirm,Administrators corroborate the new policy immediately.,,Advanced,Low
fashion,verb,to make or shape something,Athletes fashion their training during off-season.,,Medium,Mid
fume,verb,to be very angry about something,Researchers fume the data before publication.,,Core,High
scribble,noun,scrawl,Budget constraints limited the scribble.,,Medium,Mid
indiscriminate,adjective,acting without careful judgement,Their indiscriminate strategy proved effective.,,Advanced,Low
aroma,noun,"a distinctive, typically pleasant smell",Historical records documented the aroma.,fragrance; odor,Core,High
entreat,verb,"beg, implore, to ask somebody to do something in a serious and often emotional way",Officials entreat the proposal after public hearings.,,Medium,Mid
ardent,adjective,passionate,Her ardent approach solved the complex problem.,,Medium,Mid
caution,noun,warning,Analysis revealed a significant caution in the data.,,Medium,Mid
reckless,adjective,showing a lack of care about danger and the possible results of your actions,Budget constraints made expansion reckless.,,Medium,Mid
toss,verb,to throw something lightly or carelessly,Museums toss artifacts from private collectors.,,Core,High
invective,noun,rude language and unpleasant remarks that somebody shouts when they are very angry,Evidence clearly supported the invective.,,Advanced,Low
