Term,PartOfSpeech,Definition,Example,Synonyms,SAT_Level,Frequency_Tier
doting,adjective,indulgent,The team's doting strategy secured victory.,,Medium,Mid
pensive,adjective,"thinking deeply about something, especially because you are sad or worried",The pensive artifact revealed ancient practices.,,Medium,Mid
propriety,noun,moral and social behaviour that is considered to be correct and acceptable,Understanding the propriety helps improve patient care.,,Advanced,Low
escalation,noun,"the act of becoming or making something greater, worse, more serious, etc.",The escalation affected quarterly earnings.,,Advanced,Low
anomaly,noun,"a thing, situation, etc. that is different",Scientists studied the anomaly under controlled conditions.,,Medium,Mid
downplay,verb,to try to make something seem less important than it really is,Teachers downplay student progress throughout the semester.,understate v.,Medium,Mid
rail,noun,railroad,The rail influenced voter turnout.,,Core,High
unnerve,verb,"to deprive of courage, strength, or steadiness",She learned to unnerve her daily routine.,,Medium,Mid
capricious,adjective,unpredictable,The capricious design won industry awards.,,Advanced,Low
hone,verb,sharpen,Animals hone when environmental conditions change.,,Core,High
tamper,verb,change or touch especially in a way that causes damage or harm,Someone had tampered with the security cameras.,,Medium,Mid
bout,noun,a short period of intense activity,The team's bout determined the championship outcome.,,Core,High
resentment,noun,a feeling of anger or unhappiness about something that you think is unfair,The resentment marked a turning point in civilization.,,Advanced,Low
curate,verb,"select, organize, and look after the items in",Doctors curate treatment based on test results.,,Medium,Mid
literacy,noun,the ability to read and write,The literacy affected quarterly earnings.,,Medium,Mid
withdraw,verb,take back,Researchers withdraw the hypothesis through experimentation.,,Medium,Mid
interject,verb,"say abruptly, especially as an interruption",Teachers interject student progress throughout the semester.,,Advanced,Low
freewheeling,adjective,carefree,The freewheeling policy gained bipartisan support.,,Advanced,Low
torpor,noun,the state of not being active and having no energy or enthusiasm,The torpor made everyday tasks easier.,inactivity; listlessness; passiveness,Medium,Mid
altitude,noun,the height of an object or point in relation to sea level or ground level,This altitude represents a breakthrough in computing.,,Medium,Mid
enunciate,verb,to express an idea clearly and exactly,Animals enunciate when environmental conditions change.,,Advanced,Low
stoke,verb,to add fuel to a fire,The artist chose to stoke traditional techniques.,fuel v.,Core,High
lighthearted,adjective,intended to be fun rather than too serious,The team's lighthearted strategy secured victory.,carefree; cheerful; tongue- in-cheek (; ),Advanced,Low
threshold,noun,entrance,The threshold marked a turning point in civilization.,,Advanced,Low
concur,verb,agree,Doctors concur treatment based on test results.,,Medium,Mid
destitution,noun,"the fact of having no money, food and the other things necessary for life",The destitution affected quarterly earnings.,,Advanced,Low
vulgar,adjective,"coarse, in bad taste",The vulgar results confirmed the theory.,,Medium,Mid
stereotyped,adjective,based on fixed ideas about a person or thing which may not really be true,Her stereotyped approach engaged students.,,Advanced,Low
marvelous,adjective,causing great wonder,The marvelous policy gained bipartisan support.,,Advanced,Low
reverse,verb,make the opposite of what it was,She learned to reverse her daily routine.,,Medium,Mid
sustenance,noun,food and drink regarded as a source of strength,This sustenance represents a breakthrough in computing.,,Advanced,Low
ineffectual,adjective,without the ability to achieve much,The ineffectual landscape attracted tourists.,,Advanced,Low
extraction,noun,the act or process of removing or obtaining something,The extraction inspired a new artistic movement.,,Advanced,Low
wane,verb,"to decrease, dwindle, or diminish",Athletes must wane their training intensity.,,Core,High
promotion,noun,"upgrading, advancement",The promotion marked a turning point in civilization.,,Advanced,Low
supplemental,adjective,provided in addition to something else in order to improve or complete it,The supplemental symptoms indicated a rare condition.,,Advanced,Low
rounding,noun,altering a number to one less exact but more convenient for calculations,The rounding affected quarterly earnings.,,Medium,Mid
debased,adjective,reduced in quality or value,The debased results confirmed the theory.,,Medium,Mid
winnow,verb,remove people or things,The selection committee will winnow down the candidates.,,Medium,Mid
fortuitous,adjective,"happening by chance, especially a lucky chance that brings a good result",The fortuitous policy gained bipartisan support.,,Advanced,Low
doldrums,noun,the state of feeling sad or depressed,The doldrums made everyday tasks easier.,,Medium,Mid
subsist,verb,"to manage to stay alive, especially with limited food or money",Engineers subsist the system for optimal performance.,,Medium,Mid
generalization,noun,a general statement or concept obtained by inference,The generalization is essential for ecosystem balance.,,Advanced,Low
transpire,verb,let water passes out,The artist chose to transpire traditional techniques.,,Advanced,Low
saliva,noun,the liquid that is produced in your mouth that helps you to swallow food,The team's saliva determined the championship outcome.,,Medium,Mid
cursory,adjective,done quickly and without giving enough attention to details,The cursory artifact revealed ancient practices.,,Medium,Mid
dash,noun,rush,Understanding the dash helps improve patient care.,,Core,High
affluent,adjective,wealthy,The affluent proposal impressed investors.,,Medium,Mid
ostracism,noun,exclusion by general consent,Scientists studied the ostracism under controlled conditions.,,Advanced,Low
dread,noun,great fear or apprehension v. anticipate with great apprehension or fear,The dread plays a crucial role in student development.,fear; apprehend(); loathe(),Core,High
mishap,noun,a small accident or piece of bad luck that does not have serious results,The mishap influenced voter turnout.,,Medium,Mid
ideological,adjective,based on a set of ideas that an economic or political system is based on,His ideological attitude made him popular.,,Advanced,Low
engulf,verb,eat or swallow whole,Engineers engulf the system for optimal performance.,,Medium,Mid
hearty,adjective,"vigorous, robust, healthy",The hearty landscape attracted tourists.,,Medium,Mid
paltry,adjective,too small to be considered as important or useful,Critics praised the paltry performance.,,Medium,Mid
iconoclast,noun,a person who criticizes popular beliefs or established customs and ideas,The team's iconoclast determined the championship outcome.,,Advanced,Low
unearth,verb,to find something in the ground by digging,Historians unearth primary sources for accuracy.,excavate; uncover; unveil,Medium,Mid
imminent,adjective,about to happen,The imminent symptoms indicated a rare condition.,impending; looming,Medium,Mid
